id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
34,K 130,"Block statue of Jmn-m-jpt, son of Jry. Cairo CG 48644",Statue,Block statue,Greywacke,31,,,,,,Complete, Late Period 26th dyn. Psammetichus I,,30/3/1904,
35,K 131,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of ʿnḫ-pȝ-ẖrd and ʿnḫ-n.s-jt.s. Cairo JE 37011 (= CG 42269*)",Statue,Block statue,Siltstone,22.5,13,,18,,JE: 23,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,30/3/1904,
36,K 132,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Ḥr. Baltimore, WAG/WAM 166 (22.172) (ex-Cairo JE 37161)",Statue,Block statue,"""Black"" Granite",26.8,,,,,"JdF: 21
JE: 26.5
Steindorff:1946: 26,6",Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,30/3/1904,
37,K 133,"Block statue of Jmn-m-ḥȝt. New York, MMA 25.184.15 (ex-Cairo JE 36972)",Statue,Block statue,Basalt,"32,1","14,6",,"14,3",,"JE: H. 31; l. 14; pr. 22

CLES 392:
H. 31,7; l. 14,5; pr. 22,5",, Ptolemaic Period,,30/3/1904,
38,K 134,"Block statue of Pȝ-dj-ʿ.s, son of [...?] and Nfrt. Cairo JE 37142",Statue,Block statue,"""Black"" Granite",28,15,,20,,,, Late Period-Ptolemaic Period,,30/3/1904,
39,K 135bis,"Statue of a prince (sȝ-nswt) with child hair lock, holding a figure of deity. Cairo JE 37188",Statue,Block statue with figure of deity,Granite,41,,,,,,, New Kingdom 19th dyn. Ramesses II,,4/2/1904(?),
40,K 136,"Block statue of Ḥr-sȝ-Ȝst, son of Ns-Ptḥ. Cairo CG 42246",Statue,Block statue,Breccia,18,,,,,"JE: 18,5",Complete, T.I.P. 25th dyn.,,31/3/1904,
41,K 137,"Block statue of ʿnḫ-pȝ-ẖrd, son of Ḥr-ȝḫ-bjt and N(ȝ)-mnḫ-Jmn. Cairo CG 48625",Statue,Block statue,Greywacke,25,,,,,,Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,31/3/1904,
42,K 138,Block statue of Ḥr son of ʿnḫ.f-n-Ḫnsw and ʿnḫ-jrty-nt-Ȝst(?).  Cairo JE 36994 (= CG 42256*),Statue,Block statue,Greywacke,19.8,10.2,,13.7,,"JE: 20

———
Brandl:2008 = Eaton-Krauss, Jansen-Winkeln:2001
+
H. visage	3.3",Almost complete, T.I.P. 22nd dyn. Shoshenq I-Osorkon I,,31/3/1904,
43,K 139,Block statue of Ḥȝḥȝt son of Pp(?). Cairo CG 48616,Statue,Block statue,Greywacke,31,,,,,,Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,31/3/1904,
44,K 142,"Block statue of Pȝ-dj-Nfr-ḥtp, called Ns-Jn-Ḥrt, son of Jrt-Ḥr-r.w and Tȝ-[...] Cairo JE 37429",Statue,Block statue," ""Grey"" granite",22,10.5,,11,,"JE 21:
CLES 1573: 21,5

EMD (13/10/2010): hauteur: 21; largeur: 11.5; prof. 10",, Ptolemaic Period Argeads Philip Arrhidaeus,,31/3/1904,
45,K 143,"Block statue of Ns-Mnw, son of Pȝ-wrm and Ns-tȝ-nṯrt-tn. Cairo JE 37017",Statue,Block statue,Limestone,32,,,,,,Almost complete, Ptolemaic Period,,31/3/1904,
46,K 144,"Block statue of Kȝp.f-ḥȝ-Mnṯw, son of Wsjr-wr and Nn-nwb. Cairo JE 36962",Statue,Block statue,Basalt,37.5,14,,19.5,,"Hauteur JE: 37
Jansen-Winkeln:2001, Largeur et Profondeur socle",Almost complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,31/3/1904,
47,K 145,"Block statue of Ns-Šw-Tfnwt, son of Ns-pȝ-qȝ-šwty. Cairo JE 36963",Statue,Block statue,"""Black"" Granite",33,,,,,,, Late Period 26th dyn.,,31/3/1904,
48,K 148,Block statue of Ns-pȝ-mdw son of Ḥr and ...?. Cairo JE 37368,Statue,Block statue,Limestone,34,,,,,,, Ptolemaic Period,,31/3/1904,
49,K 149bis,Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ [son of Ḥr-sȝ-Ȝst]. Cairo JE 37382,Statue,Block statue,Limestone,46.4,23.2,,23.3,,"JE: 35 [”without head” / “Head appears to have been found later & put on. RE.”]
———
Brandl:2008 = Jansen-Winkeln:2008",, T.I.P. 22nd-23rd dyn. Osorkon III-Takelot III,,,
50,K 154,"Block statue of Bȝk-n-Ḫnsw, son of Ḏd-Ḫnsw-ỉw.f-ʿnḫ. Cairo CG 42213",Statue,Block statue," ""Grey"" granite",52,23.5,,37,,JE: 54 / CG: 52,Almost complete, T.I.P. 22nd dyn. Osorkon II,,1/4/1904,
51,K 157,"Block statue of Jmn-m-jnt, son of Ḥr-sȝ-Ȝst. Cairo JE 37401 (= CG 42260*)",Statue,Block statue,Limestone,19.3,11.6,,18,,JE: 19,, T.I.P. 22nd-23rd dyn.,,2/4/1904,
52,K 160,"Block statue of ẖnm-jb-Rʿ-mn, son of Ns-Mnw and Tȝ-nt-Jmn. Cairo JE 36918",Statue,Block statue,"""Black"" Granite",54,,,,,,Complete, Ptolemaic Period Ptolemies,,3/4/1904,
53,K 161,"Block statue of Jmn-n-dt (?), son of Jmn-n-dt (?). Cairo JE 37373",Statue,Block statue,"""Black"" Granite",30,,,,,,Broken (lower part missing), T.I.P. 25th dyn.,,3/4/1904,
54,K 162,"Block statue of Ns-Mnw, son of Wsr-Ḫnsw. and Tȝ-šrjt-Ḫnsw Cairo JE 36961",Statue,Block statue,"""Black"" Granite",38.5,14.5,,19.5,,JE: 39,Almost complete, Ptolemaic Period Ptolemies,,3/4/1904,
55,K 167,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Jw.f-ʿȝ and Ns-nb-ʿnḫ. Cairo JE 37196",Statue,Block statue,"""Black"" Granite",51,,,,,,, Late Period 30th dyn.,,,
56,K 173,Block statue of Ṯȝ-nfr. Cairo JE 36974,Statue,Block statue,Basalt,34,,,,,,, New Kingdom 19th dyn.,,8/4/1904,
57,K 174,"Block statue of Ḥr-n-P, son of Wḏȝ-Ḥr and Jmn-jr-dj-s(y). Cairo JE 36970",Statue,Block statue,"""Black"" Granite",38,,,,,,, T.I.P. 25th dyn. Shabaka,,,
