id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
184,K 438,"Block statue of Jw.f-ʿȝ, son of Pȝ-Nḥsy. Cairo JE 37364 (= CG 42261*)",Statue,Block statue,Limestone,19,,,,,JE: 22,Almost complete, T.I.P. 25th dyn.,,6/6/1904,
185,K 439,"Block statue of Ns-Mnw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Jr-Mḥyt-wḏȝ-(n)-nfw. Cairo JE 37160",Statue,Block statue,Basalt,37,,,,,,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
186,K 440,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Nḫt.f-Mwt. Cairo CG 48614",Statue,Block statue,"""Black"" Granite",22,,,,,,Almost complete, T.I.P. 23rd dyn.,,6/6/1904,
187,K 441,"Block statue of Nb-nṯrw, son of ʿnḫ-Wn-nfr (I). Cairo JE 37413",Statue,Block statue,"""Black"" Granite",22,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,6/6/1904,
188,K 442,"Block statue of Ns-Mnw, son of Ṯȝ-n-ḥsrt, with figure of Amun. Cairo JE 37435",Statue,Block statue with figure of deity (Amun),Siltstone,12,,,,,,Broken (head missing), T.I.P.-Late Period trans. 25th-26th dyn.,,6/6/1904,
189,K 443,"Block statue of ʿnḫ-pȝ-ẖrd, fils de Kȝp.f-ḥȝ[-Ḫnsw] and Mr-Jmn-jt.s. Cairo JE 37143",Statue,Block statue,"""Black"" Granite",33.5,14.5,,19.5,,JE : 33,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
190,K 444,"Block statue of Ḏd-Ptḥ-jw.f-ʿnḫ, son of ʿnḫ-Ṯkrṯ and Jn.n-Jmn-nȝy.s-nbw. Cairo CG 42196",Statue,Block statue," ""Grey"" granite",30.5,15.5,,21,,"Hauteur: CG: 3
Largeur: CLES: “across arms”",Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,7/6/1904,
191,K 445,"Block statue of Wsjr-wr, son of Hr.s-n.f and Dj-s(y)-Jmnt, with figure of Osiris. Cairo JE 37134",Statue,Block statue with figure of deity (Osiris),"""Black"" Granite",34,13,,20.5,,JE: 32,Almost complete, Late Period 30th dyn.,,7/6/1904,
192,K 446,"Block statue of Pȝ-dj-Jmn-jpt, son of N(ȝ)-mnḫ-Ȝst (M). Berlin, Ägyptisches Museum 23728 (ex-Cairo JE 37179)",Statue,Block statue,Quartzite,32,,,,,"JE: 31,5",Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
193,K 447,"Block statue of ʿnḫ.f-n-Ḫnsw, son of Bs-n-Mwt. Cairo JE 37194",Statue,Block statue,Green hard stone,31,,,,,,, T.I.P. 25th dyn.,,,
194,K 448,Block statue of [...?]. Cairo T.R. 12/1/41/1,Statue,Block statue,Limestone,34,13,,19,,RT: 33,, Late Period-Ptolemaic Period,,,
195,K 449,"Block statue of Ns-Mnw, son of Kȝp.f-ḥȝ-Ḫnsw and Ns-Ḥr-pȝ-Rʿ. Baltimore, WAG/WAM 168 (22.183) (ex-Cairo JE 37164)",Statue,Block statue,"""Black"" Granite",36,,,,,,, Ptolemaic Period Ptolemies,,,
196,K 450,"Block statue of Pȝ-dj-Mnw, son of Pȝ-n-ḫtjw. Cairo JE 37415",Statue,Block statue,Limestone,25,,,,,,, Ptolemaic Period,,8/6/1904,
197,K 451,"Block statue of Ḫnsw-jr-ʿȝ, son of Ḥr-sȝ-Ȝst. Baltimore WAG/WAM 161 (22.141) (ex-Cairo JE 37411)",Statue,Block statue,"""Black"" Granite",31.4,,,,,JE: 33,Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
198,K 452,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Pȝ-dj-ʿ.s and Ȝst-m-Ȝḫ-bjt. Cairo JE 37173",Statue,Block statue,"""Black"" Granite",48,,,,,JE: 48,, Late Period-Ptolemaic Period,,8/6/1904,
199,K 453,"Block statue of Ns-Mnw, son of Jʿḥ-ms and Dj-s-Jmn. Baltimore, WAG/WAM 162 (22.158) (ex-Cairo JE 37412)",Statue,Block statue,"""Black"" Granite",36.7,,,,,JE: 38,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
200,K 454,"Block statue of Ḥr-sȝ-Ȝst, son of Pȝ-ḫȝr-Ḫnsw. Cairo CG 48619",Statue,Block statue,Greywacke,42.3,,,,,JE: 41,Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
201,K 456,"Block statue of Ns-pȝwty-tȝwy, son of Wsjr-wr and Mwt-jr-dj.s. Cairo JE 37146",Statue,Block statue," ""Grey"" granite",33,,,,,JE: 31,Complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
202,K 458,"Block statue of Wsr-Ḫnsw, son of Kȝp.f-ḥȝ-Mnṯw and Ns-Ḫnsw. Cairo JE 37149",Statue,Block statue,"""Black"" Granite",47,17.9,,26.3,,Jansen-Winkeln:2001 : Largeur et Profondeur du socle,Complete, Ptolemaic Period,,8/6/1904,
203,K 459,"Block statue of Jḥȝt, son of Pȝ-n-Mȝʿt. Cairo JE 37148",Statue,Block statue,Granite,36.7,14.5,,23.5,,JE: 37,Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
204,K 460,"Block statue of Ns-Mnw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Nfrt-jwtj. Cairo JE 37178",Statue,Block statue,"""Black"" Granite",45,,,,,,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
205,K 461,"Naophorous block statue of Pȝ-sr, with figure of Ahmosi Nefertere. Cairo CG 42179",Statue,Naophorous block statue (Ahmosi Nefertere)," ""Grey"" granite",42,20.5,,23,,"JE: 42
CG: 41.5",Almost complete, New Kingdom 20th dyn.,,8/6/1904,
206,K 463,"Block statue of Jmn-m-ḥȝt, called Jbȝy(?). Cairo JE 37355",Statue,Block statue,"""Black"" Granite",52,,,,,,, New Kingdom 18th dyn.,,,
207,K 464,Block statue of Jmn-m-Jpt. Cairo JE 37203,Statue,Block statue,Limestone,28.5,15,,19,,JE: 28,Broken (head missing), Late Period-Ptolemaic Period,,,
208,K 465,"Block statue of Ḥr, son of [...]. Cairo JE 37438 (= CG 42253*)",Statue,Block statue,Limestone,19,13.2,,13.7,,JE: 18,Broken (head and feet missing), T.I.P. 22nd-23rd dyn. Osorkon III,,9/6/1904,
209,K 467,Block statue of Nḫt-Mnw. Cairo CG 42124,Statue,Block statue,"""Black"" Granite",44,22,,25,,CG: 45,, New Kingdom 18th dyn. Tuthmosis III,,9/6/1904,
210,K 469,"Block statue of Pȝ-dj-mwt, son of Pȝ-ṯȝw-m-dj-mwt and Ḏd-Ȝst-jw.s-ʿnḫ. Cairo CG 42218",Statue,Block statue," ""Grey"" granite",28.7,14.5,,21.5,,"CG: 28,5",Almost complete, T.I.P. 22nd dyn.,,9/6/1904,
211,,"Block statue of Ḥr-sȝ-Ȝst, son of Jrty-r-ṯȝ and Ns-Ḫnsw. Cairo T.R. 13/6/24/5",Statue,Block statue,"""Black"" Granite",37,,,,,"JE: “Ht. 0,31 37 ?”",, Late Period-Ptolemaic Period,,,
212,K 229,"Block statue of Ḏd-ḫnsw-jw.f-ʿnḫ, son of Jpw-wr. Cairo JE 37365",Statue,Block statue,Siltstone,16.5,8.1,,11.4,,"JE: 16,3",, T.I.P. trans. 22nd-23rd-25th dyn.,,1904,
213,K 483,Block statue (anepigraphic). Cairo JE 37220,Statue,Block statue,"""Black"" Granite",32,,,,,,, Date unknown,,,
214,K 497,"Block statue of Ḏd-Bȝstt-jw.f-ʿnḫ, son of Šd-sw-Ḏḥwty. Cairo JE 37527 (= CG 42251*)",Statue,Block statue,Hard crystalline limestone,134 (env.),63.5,,93.5,,"JE: 125
———
Brandl:2008
Relief av.	H. 37 x l. 37.8 [H. lignes 10]
Relief g.	H. 36.5 x l. 39 [H pers. 28.5; H. lignes 10]
Relief dr.	H. 36 x l. 39.8 [H. pers. 28.5; lignes 10]",, T.I.P. 22nd dyn. Osorkon I,,,
215,K 498,"Block statue of Ḥr-ȝḫ-bjt, son of Jmn-m-jnt. Cairo CG 42231",Statue,Block statue,"""Pink"" granite",140,64.5,,88,,CG: 140,Almost complete, T.I.P. 22nd-23rd dyn. Osorkon III,,13/6/1904,
216,K 499,Block statue of Bȝk-n-Ḫnsw (I). Cairo CG 42155,Statue,Block statue,Hard crystalline limestone,125,,,,,,, New Kingdom 19th dyn. Ramesses II,,15/6/1904 (H.C.),
217,K 519,"Block statue of Nsr-Jmn, son of ʿnḫ.f-n-Ḫnsw, with figure of Osiris. Alexandria, Bibliotheca Alexandrina BAAM 598. (ex-Cairo JE 37521bis)",Statue,Block statue with figure of deity (Osiris),"""Black"" Granite",46,,,,,JE 37190: 45,, T.I.P.-Late Period trans. 25th-26th dyn.,,,
218,K 522,"Block statue of Sn-n-mwt, holding Princess Neferure. Cairo CG 42114",Statue,Block statue holding a child," ""Grey"" granite",126,59,,84,,CG: 130,, New Kingdom 18th dyn. Hatshepsut,,30/12/1904 (H.C.),
219,K 531,"Block statue of Pȝ-dj-nfr-ḥtp, son of Tȝ-ḫy (?) (M). Cairo JE 37837 / 38687",Statue,Block statue,Siltstone,22,,,,,,, Ptolemaic Period,,,
220,K 541,"Block statue of [...?]-ẖrd, son of Bȝk-n-mwt. Cairo JE 37839 / 38691 (= CG 42276*)",Statue,Block statue,Limestone,35,18,,20,,"JE 37839: 36
JE 38691: 35",, T.I.P. 22nd dyn.,,31/3/1905,
221,K 543,Block statue of Nḫt-Jmn. Cairo JE 38063,Statue,Block statue,Granite,33.6,,,,,,, New Kingdom 19th dyn.,,,
222,K 552,"Block statue of Wsjr-wr, called Ḥȝ-ḥȝt, son of Pȝ-dj-Jmn-m-jpt. Cairo JE 37843 / 38696",Statue,Block statue," ""Grey"" granite",44.4,18.2,,26.5,,"Profondeur et largeur Jansen-Winkeln:2001 = du socle
Hauteur JE: 44",, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
223,K 566,"Block statue of Jmn-m-ḥȝt, son of Pȝ-dj-ʿ.s and Ns-Bȝstt. Cairo JE 37847",Statue,Block statue,"""Black"" Granite",29,,,,,,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,2/4/1905,
224,K 567,"Block statue of ʿnḫ-Wn-nfr (II), son of Nb-nṯrw. Cairo JE 37848",Statue,Block statue,"""Black"" Granite",41,18,,27,,"Largeur: du socle
Profondeur: du socle",, T.I.P.-Late Period trans. 25th-26th dyn.,,3/4/1905,
225,K 568,"Block statue of Ḥr, son of Jrty-r-ṯȝj. Cairo JE 37886",Statue,Block statue,"""Black"" Granite",43,,,,,,, Late Period-Ptolemaic Period,,2/4/1905,
226,K 570,"Block statue of ʿnḫ-Ḫnsw, son of Ḥr. Cairo CG 48635 + Boston MFA 04.1841 (head and left shoulder)",Statue,Block statue,Greywacke,44.5,,,,,"Après restauration
———
Bothmer:1960 source de A.d. 1-5; donne encore: 1,7 à 1,8 “Intracolumnar width”",En morceaux disjoints, Late Period 26th dyn. Psammetichus I,,1905 et 1903 (H.C.?),
227,K 571,"Block statue of Ns-Šw-Tfnwt, son of Ns-pȝ-qȝ-šwty. Cairo JE 37849",Statue,Block statue,Limestone,28,13,,16,,JE: 28,, T.I.P. 26th dyn.,,,
228,K 572,"Block statue of Jry-jry, son of Kȝp.f-ḥȝ-Jmn and Tȝ-šrjt-Mnw. Cairo JE 37883",Statue,Block statue," ""Grey"" granite",36.5,15.3,,23.5,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,Complete, Late Period 30th dyn.,,,
229,K 573,"Block statue of Rʿ-m-mȝʿ-ḫrw, son of P(ȝ)-hrr. Cairo CG 42249 (anc. Buffalo Albright Art Gallery)",Statue,Block statue,"""Black"" Granite",26.5,,,,,"JE: 20,5?",Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,3/4/1905,
230,K 574,"Block statue of Ḥr, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Tȝ(y)-Jmn-nb-nswt-tȝwy. Cairo JE 37988",Statue,Block statue," ""Grey"" granite",29,9.8,,16,,"Jansen-Winkeln:2001, Largeur et Profondeur du socle",Complete, Late Period-Ptolemaic Period,,,
231,K 575,"Block statue of Ns-qȝ-šwty, son of Ḥr-sȝ-Ȝst. Cairo JE 37851",Statue,Naophorous block statue (Amun and Mut),"""Pink"" granite",25,13,,15.2,,"JE/Payraudeau:2006b: 25,5
Jansen-Winkeln:2006 H. 26 / Prof. 14,8 / Larg. 11 / H. socle 3,3",Complete, T.I.P. 25th dyn.,,3/4/1905,
232,K 577,"Block statue of ʿnḫ-pȝ-ẖrd, son of Ns-Mnw and Tȝ-dj-Ȝst-dj-ʿnḫ. Cairo JE 37853",Statue,Block statue,Quartzite,39.6,,,,,JE: hauteur 39,Complete, Late Period 30th dyn.,,3/4/1905,
233,K 579,"Block statue of Jrt-Ḥr-r.w, son of Ns-Jn-ḥr(t), dédicated by his son ʿnḫ-pȝ-ẖrd. Cairo JE 37989",Statue,Block statue,"""Black"" Granite",26,12.6,,20,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,Complete, Ptolemaic Period Argeads Philip Arrhidaeus,,,
234,K 582,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Pȝ-mnj-[...]. Cairo JE 37991",Statue,Block statue,"""Black"" Granite",40,,,,,,, Ptolemaic Period Ptolemies Ptolemy II,,,
235,K 585,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-ḫȝr-Ḫnsw. Cairo JE 37993",Statue,Block statue,Basalt,36.5,,,,,,Almost complete, Late Period 30th dyn.,,7/4/1905,
236,K 588,"Block statue of Jḥȝt, son of Wȝḥ-jb-Rʿ. Cairo JE 37857",Statue,Block statue," ""Grey"" granite",43,,,,,,, Ptolemaic Period,,7/4/1905,
237,K 589,"Block statue of Ḏd-Ptḥ-jw.f-ʿnḫ, son of Wsjr-wr. Cairo JE 37994",Statue,Block statue,"""Black"" Granite",44,,,,,,, Ptolemaic Period,,,
238,K 591,Block statue of Rʿ-m-mȝʿt (?). Cairo JE 37996,Statue,Block statue," ""Grey"" granite",9.5,,,,,JE: Ø,Broken (head missing), T.I.P.-Late Period trans. 25th-26th dyn.,,7/4/1905,
239,K 597,"Block statue of Kȝp.f-ḥȝ-Mnṯw, son of Wsr-Ḫnsw and of Tȝ-šrjt-Mnw. Cairo JE 37858",Statue,Block statue," ""Grey"" granite",47,,,,,,, Late Period,,8/4/1905,
240,K 598,Block statue of Pȝ-nḥsy. Cairo JE 37859,Statue,Block statue," ""Grey"" granite",46,23.5,,40,,JE: 47,Broken (head missing), New Kingdom 19th dyn. Merenptah,,8/4/1905,
241,K 600,"Block statue of Ḏd-ḥr, son of Ns-pȝ-mdw and Ḫnsw-jr-dj.s. Cairo JE 37861",Statue,Block statue," ""Grey"" granite",55.5,27.5,,41,,"Jansen-Winkeln:2001 : Profondeur (du socle) 40,7; Largeur (du socle) 28,5; Hauteur du socle 7,8",Complete, Late Period 30th dyn. Nectanebo I,,8/4/1905,
242,K 601,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Ḥr and Šp-n-Spdt. Cairo JE 37862",Statue,Block statue," ""Grey"" granite",28,,,,,,, Late Period 26th dyn.,,8/4/1905,
243,K 602,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of ʿnḫ.f-Ḫnsw and Ns-nṯrt-tn. Cairo JE 37863 / 38000 (?)",Statue,Block statue,Siltstone,22,,,,,,, Late Period,,8/4/1905,
244,K 603,"Block statue of Kȝp.f-ḥȝ-Ḫnsw, son of Wsr-Ḫnsw and Ḫnsw-jr-dj.s. Cairo JE 38001",Statue,Block statue,Granite,29,,,,,,, Ptolemaic Period,,9/4/1905,
245,K 604,"Block statue of Pȝ-ḫȝr-Ḫnsw, called Ḥȝḥȝt, son of Ḥr and Tȝ-šrjt-Bȝstt. Cairo JE 37864",Statue,Block statue,Basalt,32,14.5,,16.5,,"JE: 33
Jansen-Winkeln:2001 Hauteur 32,5",Complete, Late Period 30th dyn.,,9/4/1905,
246,K 607,"Block statue (anonymous), holding ram-headed standard. Location unknown (ex-Cairo CG 42174)",Statue,Block statue holding ram-headed standard," ""Grey"" granite",31.5,,,,,,Almost complete, New Kingdom 19th dyn. Ramesses II,,9/4/1905,
247,K 611,"Block statue of Ns-Mnw, son of ʿnḫ-pȝ-ẖrd and Ȝst-wrt. Glasgow, Burrell 13.233 (ex-Cairo JE 37868)",Statue,Block statue,Siltstone,31.9,,,,,JE : 33,Complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,10/4/1905(?),
248,K 612,"Block statue of Kȝp.f-ḥȝ-Mnṯw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Nḥm-s(y)-Rʿt-tȝwy. Cairo JE 37869",Statue,Block statue," ""Grey"" granite",23,,,,,,, Late Period-Ptolemaic Period,,10/4/1905,
249,K 613,"Block statue of Wȝḥ-jb-Rʿ, son of Pȝ-dj-Jmn-nb-nswt-tȝwy. San Bernardino, Coll. Harer 27 (ex-Cairo JE 37870)",Statue,Block statue,Basalt,33,,,,,,, Ptolemaic Period,,,
250,K 616,"Block statue of Ȝḫ-Jmn-r.w, son of Pȝ-kjry. Cairo CG 48601",Statue,Block statue,Basalt,40.2,,,,,JE: 40,Almost complete, T.I.P. 25th dyn. Taharqa,,1905,
251,K 617,"Block statue of Psmṯk, son of Ṯȝ-n-nȝ-hbw and Nfr-Sḫmt. Cairo CG 48646",Statue,Block statue,Greywacke,48,,,,,,Complete, Late Period 26th dyn. Psammetichus I,,12/4/1905,
252,K 618,Block statue of Rȝmʿ-Rȝy (Romê-Roy). Cairo JE 37874,Statue,Block statue,"""Black"" Granite",47,,,,,,Complete, New Kingdom 19th dyn. Merenptah,,12/4/1905,
253,K 619,Block statue of Ḏḥwty-ms. Cairo JE 37875,Statue,Block statue,"""Black"" Granite",46,,,,,,, New Kingdom,,,
254,K 621,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, fils de Ns-pȝ-mdw. Cairo JE 37877",Statue,Block statue,"""Black"" Granite",46,21,,26,,JE: 46,Almost complete, Ptolemaic Period,,12/4/1905,
255,K 622,"Block statue of vizir Pȝ-sr, son of Nb-nṯrw and of Mryt-Rʿ. Cairo JE 38062",Statue,Block statue,"""Black"" Granite",72,35,,44,,JE: 72,Almost complete, New Kingdom 19th dyn. Ramesses II,,1905,
256,K 624,"Block statue of ʿnḫ-pȝ-ẖrd, son of Kȝp.f-ḥȝ-Ḫnsw, with figure of Osiris. Cairo JE 38006",Statue,Block statue with figure of deity (Osiris)," ""Grey"" granite",32.3,,,,,,, Late Period,,13/4/1905,
257,K 627,"Block statue of Ḫnsw-ms, son of Ḏd-Ȝst-jw.f-ʿnḫ [and Ns-Mwt-ʿȝ-nrt]. Cairo JE 37878",Statue,Block statue,"""Black"" Granite",26.8,14.8,,18.5,,"JE: 20,3 (sic)
De Meulenaere:1999 : 31,8 (sic)",Almost complete, T.I.P. trans. 25th-26th dyn.,,14/4/1905,
258,K 628,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Bȝk-n-Ḫnsw. Cairo CG 42216",Statue,Block statue,Hard crystalline limestone,50,23,,31.5,,"CG: 50
———
Brandl:2008
H. relief avant (haut)	18
H. relief avant (bas)	7.5/7.8",Almost complete, T.I.P. 22nd dyn.,,14/4/1905,
259,K 629,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Psmṯk. Cairo JE 42892",Statue,Block statue," ""Grey"" granite",37,17,,23.5,,JE: 37,, Late Period,,14/4/1905,
260,K 630,"Block statue of Ns-Ḫnsw-[wn-...?], son of Ḏd-Mwt-jw.f-ʿnḫ. Cairo JE 37880",Statue,Block statue,Hard crystalline limestone,37u,19,,28.5,,JE: 40,Broken (head missing), T.I.P.-Late Period,,16/4/1905,
261,K 641,Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ son of Ns-bȝ-nb-Ḏd and of Djt-n-Rʿt-tȝwy(?). Cairo JE 38011,Statue,Block statue,"""Black"" Granite",46,,,,,,, Ptolemaic Period Ptolemies,,5/1905,
262,K 642,"Block statue of ʿnḫ-pȝ-ẖrd, son of Nḫt-Mnṯw and Tȝ-šrjt-Ḫnsw. Cairo T.R. 18/12/28/15",Statue,Block statue,Limestone,32,17,,20,,RT: 31,Broken (upper part missing), Ptolemaic Period,,,
263,K 643,"Block statue of Ḏḥwty-ms, usurped by ʿnḫ-pȝ-ẖrd, son of Nḫt-Mnṯw and Tȝ-šrjt-Ḫnsw. Cairo T.R. 4/6/24/3",Statue,Block statue," ""Grey"" granite",33,,,,,"RT 4/6/24/3 : h= 33 cm
[LC — 10/04/2007]",, New Kingdom 18th dyn.,,1905,
264,K 644,"Block statue of Jmn-jr-dj-s(w), son of Ḫw-Ḥry-š.f. Cairo CG 48632",Statue,Block statue,"""Black"" Granite",41,17,,24,,"largeur: arrière base
CLES 1582: 41,8.
JE/CG: 32 sans la tête pour le premier, reporté sans vérification sur le second",, Late Period 26th dyn. Psammetichus I,,,
265,K 645,"Block statue of Ḥr, son of Nḫt-Ḥr-ḥb and Tȝ-šrjt-Ḫnsw. Cairo JE 38013",Statue,Block statue,"""Black"" Granite",48,21.5,,26.5,,,Almost complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,5/1905,
266,K 646,"Block statue of Pȝ-ẖrd-Mḥyt, son of Tjȝ-[Ḥr]-[...]. Cairo JE 38014",Statue,Block statue,"""Black"" Granite",48,23,,29.5,,JE: 49,Complete, Late Period,,6/5/1905,
267,K 647,"Block statue of Ḥrj (n Wȝst), holding ram-headed standard. Cairo JE 38015",Statue,Block statue holding ram-headed standard,Quartzite,36,19,,25,,"Largeur arrière (Goyon, Cardin:2004)",, New Kingdom 19th dyn. Ramesses II,,,
268,K 652,"Block statue of Nsr-Jmn (VI), son of Ḥr (VI) and Tȝ-prt. Cairo T.R. 20/2/25/2 (= CG 42279*)",Statue,Block statue,Limestone,27.5,16,,17.5,,"RT: 30
Jansen-Winkeln:2008
H. 27 (env.)
l. 16",Broken (lower part missing), T.I.P. 22nd-23rd dyn. Osorkon III-Takelot III,,8/5/1905,
269,K 653,"Block statue of Ns-Mnw, son of Ḏd-Ḥr and Jrty-r.w. Cairo JE 38020",Statue,Block statue," ""Grey"" granite",43,,,,,,, Late Period 30th dyn.,,,
270,K 661,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Jrt-Ḥr-r.w. Cairo JE 38024",Statue,Block statue," ""Grey"" granite",31,,,,,,, Ptolemaic Period,,,
271,K 682,"Block statue of ʿnḫ.f-n-Ḫnsw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Tȝ-Jpt-wrt. Ismailiya, Regional Museum 2583 (ex-Cairo JE 38038)",Statue,Block statue,"""Black"" Granite",37.8,,,,,,, Ptolemaic Period,,1905,
272,K 683,"Block statue of Ns-bȝ-nb-Ḏd, son of ʿnḫ-pȝ-ẖrd. Cairo JE 38039 (= CG 42273*)",Statue,Block statue,Breccia,35,17,,25,,"JE: 36,7",, T.I.P. 22nd-23rd dyn. or 25th dyn.,,26/5/1905,
273,K 684,"Block statue of Pȝ-jw-n-Ḥr, son of Ḥr and Ȝst-rš.tj. Cairo JE 38040",Statue,Block statue,"""Black"" Granite",36.8,,,,,,, Ptolemaic Period,,26/5/1905,
274,K 688,"Block statue of Ḥr-nfr, son of Ns-Mnw and Nḥm-s(y)-Rʿt-tȝwy. Cairo JE 38044",Statue,Block statue,"""Black"" Granite",42.6,,,,,JE: Ø,, Ptolemaic Period Ptolemies,,26/5/1905,
275,K 690,"Block statue of Ḥr, son of Ḏd-ḥr and Tȝ-nt-Jmn-nb-nswt-tȝwy. Cairo T.R. 18/6/24/1",Statue,Block statue,Siltstone,33,,,,,,Almost complete, Ptolemaic Period Ptolemies Ptolemy I-Ptolemy IV,,5/1905,
276,K 691,"Block statue of Sr-Ḏḥwty, son of Ns-Mnw and Ns-Ḫnsw. Cairo JE 38046",Statue,Block statue,"""Black"" Granite",14,,,,,,, Late Period,,1905,
277,K 717,"Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ, son of Ḥr-ȝḫ-bjt and Ta-Bẖ. Cairo T.R. 18/12/24/4",Statue,Block statue," ""Grey"" granite",44,16.2,,24,,Jansen-Winkeln:2001 : Largeur et Profondeur du socle,Almost complete, Ptolemaic Period,,,
278,K 725,Block statue (surface badly weathered). Cairo JE 38586,Statue,Block statue,Sandstone,28,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,26/5/1906,
279,K 727,"Block statue of ʿnḫ-pȝ-ẖrd, son of Ḥr-sȝ-Ȝst. Cairo JE 38588",Statue,Block statue,Limestone,25,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,,
280,K 728,"Block statue of Ḏd-Bȝstt-jw.f-ʿnḫ, son of Ḥr. Cairo CG 42224",Statue,Block statue,Hard crystalline limestone,33.5,,,,,Brandl:2008 = CG,, T.I.P. 22nd-23rd dyn. Osorkon III,,25/5/1906,
281,K 731,"Block statue of Pȝ-jw-n-Ḥr, son of Nḫt-Ḥr-ḥb and Dj-s(y)-Ȝst. Cairo JE 38590",Statue,Block statue,"""Black"" Granite",32,,,,,,, Late Period,,,
282,K 732,"Block statue of Pȝ-dj-Bȝstt, son of Ns-Mnw and Nḥm-s(y)-Rʿt-tȝwy (?). Cairo JE 38591",Statue,Block statue," ""Grey"" granite",46,,,,,,, Late Period,,,
283,K 733,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Ḥr. Cairo JE 38592",Statue,Block statue,"""Black"" Granite",36,,,,,,, Late Period-Ptolemaic Period,,,
284,K 745,Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ. Cairo JE 38603,Statue,Block statue,Limestone,33,,,,,,, Ptolemaic Period,,,
285,K 747,"Block statue of Rʿ-m-mȝʿ-ḫrw, son of P(ȝ)-hrr. Cairo CG 48629",Statue,Block statue,Granite,29,,,,,,Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,1906,
286,K 749,"Block statue of Mnṯw-m-ḥȝt, son of Ns-Mnw and Ns-Ḫnsw, with figure of Osiris. Cairo CG 48633",Statue,Block statue with figure of deity (Osiris),Greywacke,40,,,,,,Almost complete, Late Period 26th dyn. Psammetichus I,,,
287,K 750,"Block statue of Pȝ-[...], fils de Pȝ-[...]. Cairo T.R. 18/12/28/11",Statue,Block statue,Limestone,7.5,5,,8,,,Broken (head missing), T.I.P.-Late Period,,,
288,K 771,"Block statue of Ḥr-sȝ-Ȝst, son of Ns-Mnw and Tȝ-dj-Ȝst-dj-ʿnḫ. Cairo T.R. 8/12/24/3",Statue,Block statue," ""Grey"" granite",38,23.4,,30.5,,"Autre dimension 6:	2,8 à 3	Largeur colonne

———
RT : 40",Complete, Late Period-Ptolemaic Period,,31/5/1907,
289,K 786,"Block statue of Ḥr-m-ḥb, son of Ns-Mnw and of Tȝ-hbt (Tȝ-nȝy-hbw). Cairo JE 43652",Statue,Block statue,Limestone,51,11,,20,,JE: 52,Broken (front part missing), Ptolemaic Period,,16/12/1908 (H.C.),
290,K 22,"Block statue of Ḥr (XVII), son of Pȝ-dj-Jmn-nb-nswt-tȝwy (C). Cairo JE 36664 (= T.R. 7/6/24/3)",Statue,Block statue,"""Black"" Granite",53.3,25,,35.2,,JE: 43!,Almost complete, Late Period 26th dyn. Necho II,,5/2/1904,
